Nama Tim,GF,GA,GD,PTS
Real Madrid,87,26,61,95
FC Barcelona,79,44,35,85
Girona FC,85,46,39,81
Atlético Madrid,70,43,27,76
Athletic Club,61,37,24,68
Real Sociedad,51,39,12,60
Real Betis,48,45,3,57
Villarreal CF,65,65,0,53
Valencia CF,40,45,-5,49
Deportivo Alavés,36,46,-10,46
CA Osasuna,45,56,-11,45
Getafe CF,42,54,-12,43
RC Celta,46,57,-11,41
Sevilla FC,48,54,-6,41
RCD Mallorca,33,44,-11,40
UD Las Palmas,33,47,-14,40
Rayo Vallecano,29,48,-19,38
Cádiz CF,26,55,-29,33
UD Almería,43,75,-32,21
Granada CF,38,79,-41,21
